ID d'incident,Timestamp,Type d'incident,Description,Severité,Statut,Responsable
7023,2023-05-14 03:47:56,Défaillance logicielle,Appartement convenir inspirer année moindre habiter.,Élevée,Résolu,Equipe Réseau
7024,2022-08-14 02:00:06,Panne matérielle,Réalité près gagner.,Moyenne,En cours,Equipe Support
7025,2022-08-24 19:00:03,Intrusion,Point fête penser.,Élevée,Résolu,Equipe Support
7026,2023-05-07 16:20:08,Intrusion,Valeur interroger étage trembler poste trois.,Moyenne,Résolu,Equipe Support
7027,2023-03-18 12:43:48,Autre,Terre seul voyager.,Faible,En cours,Equipe Sécurité
7028,2023-05-07 13:42:32,Intrusion,Face pas justice profondément enfoncer.,Moyenne,En cours,Equipe Support
7029,2024-06-30 15:30:54,Panne matérielle,Frère toit fumer.,Élevée,Ouvert,Equipe Sécurité
7030,2023-02-20 02:44:02,Intrusion,Juge réflexion oncle front trois.,Moyenne,Ouvert,Equipe Sécurité
7031,2023-04-24 03:23:26,Défaillance logicielle,Début centre me.,Élevée,Résolu,Equipe Support
7032,2023-02-21 00:54:27,Panne matérielle,Casser découvrir relation produire.,Élevée,Résolu,Equipe Réseau
7033,2023-09-10 08:54:43,Autre,Inquiéter secret remarquer envoyer sac.,Élevée,En cours,Equipe Réseau
7034,2023-09-30 17:06:20,Défaillance logicielle,Menacer écouter presque comment.,Élevée,Ouvert,Equipe Sécurité
7035,2024-04-22 07:01:15,Défaillance logicielle,Animal déjà intérieur.,Moyenne,En cours,Equipe Support
7036,2022-10-27 21:25:16,Intrusion,Écraser traiter tache.,Moyenne,En cours,Equipe Sécurité
7037,2024-08-01 09:48:00,Intrusion,Être lourd te départ lendemain.,Moyenne,Ouvert,Equipe Support
7038,2023-12-09 16:02:00,Panne matérielle,Également port embrasser position durer.,Faible,Ouvert,Equipe Réseau
7039,2023-10-19 00:28:12,Intrusion,Visible affaire président terrible page précis aujourd'hui.,Faible,Résolu,Equipe Réseau
7040,2024-01-09 05:00:43,Défaillance logicielle,Parent jusque prêter.,Faible,Ouvert,Equipe Réseau
7041,2024-04-07 14:36:20,Intrusion,À juger sorte.,Moyenne,Ouvert,Equipe Support
7042,2022-08-22 03:39:30,Intrusion,Noir devenir simple.,Élevée,En cours,Equipe Sécurité
7043,2023-12-20 09:17:44,Panne matérielle,Réflexion prononcer espace pendre ouvrage âge.,Faible,Ouvert,Equipe Réseau
7044,2024-03-08 13:39:50,Intrusion,Suite sept puissance sou sortir avoir.,Moyenne,Résolu,Equipe Support
7045,2022-12-01 15:35:03,Autre,Nu bout lueur combien coup.,Faible,Ouvert,Equipe Sécurité
7046,2024-05-08 05:11:08,Panne matérielle,Expliquer erreur mener surprendre petit drôle.,Élevée,Ouvert,Equipe Réseau
7047,2023-07-02 00:39:58,Panne matérielle,Présenter libre abandonner front sac.,Élevée,Ouvert,Equipe Réseau
7048,2022-08-06 13:19:53,Intrusion,Bureau sorte sembler.,Moyenne,En cours,Equipe Sécurité
7049,2022-10-15 11:48:00,Intrusion,Sûr permettre fauteuil souffler soit gagner.,Moyenne,Ouvert,Equipe Sécurité
7050,2024-06-15 19:30:28,Défaillance logicielle,Déclarer dieu quoi.,Moyenne,Résolu,Equipe Support
7051,2023-10-01 10:46:20,Panne matérielle,Apercevoir répéter avant.,Élevée,Résolu,Equipe Sécurité
7052,2023-12-12 09:37:55,Autre,Précieux âme de.,Élevée,Ouvert,Equipe Réseau
7053,2024-07-29 05:41:39,Intrusion,Traverser gagner naître fond.,Moyenne,Résolu,Equipe Réseau
7054,2022-09-12 22:30:24,Intrusion,Consentir mauvais flot.,Faible,En cours,Equipe Support
7055,2023-05-07 17:49:39,Intrusion,Corde mouvement commander.,Moyenne,Ouvert,Equipe Sécurité
7056,2023-02-01 23:26:39,Défaillance logicielle,Mener maison demeurer.,Faible,Ouvert,Equipe Support
7057,2024-01-15 08:33:34,Défaillance logicielle,Fauteuil franchir eaux même apporter.,Faible,Ouvert,Equipe Réseau
7058,2023-07-21 04:50:14,Panne matérielle,Mal circonstance bas société cela.,Faible,Ouvert,Equipe Sécurité
7059,2024-02-26 19:56:33,Panne matérielle,Annoncer envelopper goût dent.,Faible,En cours,Equipe Support
7060,2024-07-19 21:23:06,Intrusion,Sol voilà complètement juste essayer queue.,Élevée,Résolu,Equipe Réseau
7061,2023-02-11 11:48:10,Autre,Coup éloigner écrire vêtir assurer.,Moyenne,En cours,Equipe Support
7062,2023-08-08 12:13:47,Intrusion,Environ seulement arracher avant.,Élevée,En cours,Equipe Support
7063,2023-04-14 01:03:55,Intrusion,Conscience porte raconter.,Moyenne,Résolu,Equipe Sécurité
7064,2023-01-02 18:38:34,Panne matérielle,Village tour étranger importer paysan recherche.,Élevée,Résolu,Equipe Support
7065,2023-03-31 15:16:43,Autre,Il hiver noir.,Faible,En cours,Equipe Support
7066,2023-04-24 13:13:35,Autre,Forcer tout mur mot dégager.,Élevée,Résolu,Equipe Réseau
7067,2023-05-31 03:50:03,Panne matérielle,Gagner étranger sans femme.,Élevée,En cours,Equipe Support
7068,2023-03-26 01:52:54,Intrusion,Occuper amuser oeil détruire.,Élevée,Résolu,Equipe Réseau
7069,2022-08-18 13:24:50,Autre,Gauche secret mal simple magnifique naturellement.,Faible,Résolu,Equipe Réseau
7070,2023-09-12 08:19:04,Panne matérielle,Marquer note faveur.,Moyenne,En cours,Equipe Support
7071,2023-10-31 19:40:33,Intrusion,Former couler projet.,Moyenne,Ouvert,Equipe Support
7072,2023-11-13 01:39:20,Autre,Réfléchir trembler fer l'une éternel immobile.,Faible,Résolu,Equipe Support
7073,2023-08-30 14:01:07,Défaillance logicielle,Plutôt non chaise mine oeil fuir.,Faible,Résolu,Equipe Support
7074,2024-02-05 19:13:05,Autre,Troisième dégager retourner puis.,Faible,Résolu,Equipe Réseau
7075,2022-08-20 07:45:06,Défaillance logicielle,Douceur leur village.,Moyenne,Ouvert,Equipe Sécurité
7076,2023-09-07 01:45:38,Défaillance logicielle,Empêcher robe vin froid.,Moyenne,Résolu,Equipe Support
7077,2023-07-19 03:35:52,Défaillance logicielle,Prière remettre unique.,Faible,En cours,Equipe Support
7078,2023-02-17 22:02:12,Intrusion,Parti complet voisin cacher vague.,Élevée,Résolu,Equipe Support
7079,2024-03-07 09:15:44,Autre,Retenir colon prouver.,Élevée,Résolu,Equipe Réseau
7080,2023-05-21 05:20:14,Intrusion,Mentir goutte mer enfermer.,Élevée,Ouvert,Equipe Réseau
7081,2022-10-10 14:08:51,Intrusion,Revoir conclure veiller échapper million préparer.,Moyenne,En cours,Equipe Support
7082,2022-10-09 20:49:21,Intrusion,Partie prouver réduire.,Élevée,Ouvert,Equipe Sécurité
7083,2024-07-25 20:11:31,Intrusion,Devenir attendre roche ombre compter sien.,Faible,Résolu,Equipe Réseau
7084,2022-10-11 19:10:24,Défaillance logicielle,Réalité mal jour bonheur rêver.,Faible,En cours,Equipe Sécurité
7085,2023-06-25 04:08:58,Autre,En beaux appel tant autorité songer.,Faible,Résolu,Equipe Réseau
7086,2023-12-23 07:36:33,Intrusion,Silence forme avancer devoir inconnu vouloir.,Faible,Ouvert,Equipe Réseau
7087,2022-10-01 17:13:21,Panne matérielle,Blond aujourd'hui remettre maître jeune.,Faible,Ouvert,Equipe Sécurité
7088,2023-11-30 11:01:22,Autre,Mémoire à intention nuit lorsque.,Élevée,En cours,Equipe Réseau
7089,2024-03-19 20:01:16,Défaillance logicielle,Résoudre sept or sentier.,Faible,Résolu,Equipe Réseau
7090,2024-02-14 14:22:28,Panne matérielle,Impossible recommencer sueur du fond.,Élevée,Ouvert,Equipe Réseau
7091,2024-03-22 06:18:19,Autre,Rapidement tracer pourquoi pas.,Faible,En cours,Equipe Support
7092,2024-06-05 17:54:41,Panne matérielle,Oeil partir sien comme écraser.,Moyenne,En cours,Equipe Support
7093,2023-06-02 13:19:23,Panne matérielle,Pleurer rond tel.,Moyenne,Résolu,Equipe Réseau
7094,2022-09-16 19:06:11,Défaillance logicielle,Troisième éclat porter.,Faible,Ouvert,Equipe Réseau
7095,2023-07-29 17:47:06,Défaillance logicielle,Exemple vide tel lumière mener.,Moyenne,En cours,Equipe Sécurité
7096,2023-04-25 18:48:38,Autre,Rayon faible instant bien travail derrière.,Élevée,En cours,Equipe Réseau
7097,2024-07-03 03:23:48,Défaillance logicielle,Parfois sol route trait vague.,Élevée,Résolu,Equipe Sécurité
7098,2023-02-11 21:51:04,Autre,Interrompre horizon promener suivre.,Faible,Ouvert,Equipe Sécurité
7099,2022-11-16 13:14:55,Panne matérielle,Garder absolument bouche jeter.,Élevée,Résolu,Equipe Support
7100,2023-02-07 18:49:07,Intrusion,Dont calme coin.,Élevée,Résolu,Equipe Support
7101,2024-03-18 06:52:20,Panne matérielle,Muet jour également énergie vraiment regard.,Moyenne,Ouvert,Equipe Support
7102,2023-08-09 09:22:17,Autre,Meilleur créer creuser.,Moyenne,Ouvert,Equipe Support
7103,2022-12-19 11:35:31,Autre,Sac oeuvre durant.,Élevée,Résolu,Equipe Support
7104,2023-01-04 04:15:23,Panne matérielle,Enfoncer pièce pourtant.,Faible,Résolu,Equipe Sécurité
7105,2023-06-13 17:04:49,Panne matérielle,Tomber mur rejoindre absence.,Élevée,Résolu,Equipe Réseau
7106,2024-05-25 08:11:19,Intrusion,Presser lors comment manier soirée me.,Élevée,Ouvert,Equipe Support
7107,2022-08-24 19:24:39,Défaillance logicielle,Découvrir troubler colère.,Faible,Résolu,Equipe Support
7108,2024-08-02 20:18:15,Défaillance logicielle,Roche consulter dans.,Faible,Résolu,Equipe Support
7109,2023-03-23 00:57:09,Défaillance logicielle,Vers marché prochain à eau.,Moyenne,Ouvert,Equipe Sécurité
7110,2024-02-24 01:24:50,Panne matérielle,Pourtant cuisine nom long importer.,Faible,Résolu,Equipe Réseau
7111,2023-09-05 04:11:04,Panne matérielle,Traîner partie liberté extraordinaire.,Élevée,Résolu,Equipe Sécurité
7112,2023-03-20 13:35:46,Défaillance logicielle,Lien là disparaître type examiner.,Faible,Ouvert,Equipe Sécurité
7113,2023-03-20 21:09:47,Défaillance logicielle,Bouche détacher trace marchand de.,Moyenne,En cours,Equipe Réseau
7114,2024-07-25 09:02:41,Intrusion,Allumer secret paraître même apparaître.,Élevée,Ouvert,Equipe Réseau
7115,2024-01-09 07:01:42,Défaillance logicielle,Fonction impression image.,Moyenne,Résolu,Equipe Réseau
7116,2023-07-19 18:01:11,Intrusion,Garder noire rare certain subir.,Faible,Ouvert,Equipe Support
7117,2022-10-04 16:34:14,Défaillance logicielle,Retourner violence sourd beau rocher faim.,Élevée,En cours,Equipe Support
7118,2024-03-29 18:41:00,Panne matérielle,Prison gauche déposer étendue.,Moyenne,En cours,Equipe Sécurité
7119,2023-03-02 11:15:46,Panne matérielle,Empêcher contenir arrivée oublier marcher voile.,Moyenne,En cours,Equipe Support
7120,2023-06-30 16:29:45,Intrusion,Militaire hasard tête taille ignorer.,Moyenne,Résolu,Equipe Sécurité
7121,2023-07-10 04:43:06,Panne matérielle,Capable glisser dessiner mener drôle sein endormir.,Moyenne,Ouvert,Equipe Réseau
7122,2024-01-14 20:26:45,Intrusion,Bientôt le part.,Faible,Ouvert,Equipe Support
7123,2024-01-27 20:47:40,Intrusion,Banc ventre souvenir principe de relever.,Élevée,En cours,Equipe Sécurité
7124,2023-11-13 02:29:31,Panne matérielle,Ministre au exposer spectacle pays attention.,Faible,Résolu,Equipe Support
7125,2024-01-12 03:08:08,Défaillance logicielle,Rejoindre depuis politique soi quart discussion.,Moyenne,Ouvert,Equipe Réseau
7126,2024-02-08 22:41:47,Défaillance logicielle,Beauté tache tempête voler abattre le.,Élevée,En cours,Equipe Réseau
7127,2023-07-05 16:59:33,Intrusion,Fuir jeunesse capable.,Moyenne,Résolu,Equipe Sécurité
7128,2023-09-27 09:10:55,Défaillance logicielle,Gloire entrée réponse terrible emmener nord.,Faible,En cours,Equipe Sécurité
7129,2023-07-27 18:16:28,Intrusion,Vous entraîner mais marche.,Moyenne,Résolu,Equipe Support
7130,2023-02-20 18:11:37,Intrusion,Écraser alors garder rapport.,Élevée,Ouvert,Equipe Réseau
7131,2023-11-16 13:39:35,Intrusion,Accepter rejeter minute paysan discuter.,Moyenne,En cours,Equipe Support
7132,2023-10-29 10:56:33,Intrusion,Voir précieux frère colère.,Faible,Résolu,Equipe Réseau
7133,2024-03-15 22:56:53,Panne matérielle,Carte public deux.,Faible,Résolu,Equipe Support
7134,2022-12-23 22:17:23,Défaillance logicielle,Curiosité soulever condamner vaincre étendue.,Moyenne,Résolu,Equipe Support
7135,2023-07-11 12:55:56,Autre,Mariage contenir vin répondre.,Élevée,Ouvert,Equipe Réseau
7136,2023-11-12 11:37:32,Défaillance logicielle,Approcher chance pleurer endormir bête.,Faible,Résolu,Equipe Support
7137,2023-11-02 18:09:58,Autre,Manger route quinze.,Élevée,Résolu,Equipe Sécurité
7138,2023-04-18 13:25:16,Autre,Demande cinq beauté.,Faible,En cours,Equipe Sécurité
7139,2023-05-27 12:38:02,Défaillance logicielle,Moment lune feu.,Élevée,Ouvert,Equipe Réseau
7140,2023-12-22 08:24:27,Intrusion,Voilà fruit cher.,Élevée,Résolu,Equipe Sécurité
7141,2022-11-19 03:55:29,Autre,Vrai lutte falloir trembler dernier.,Élevée,Ouvert,Equipe Sécurité
7142,2024-02-20 10:13:15,Intrusion,Journal pour fier haut île retirer.,Faible,Résolu,Equipe Support
7143,2024-06-01 18:25:51,Autre,Désert répéter distinguer bête vous où.,Faible,Résolu,Equipe Sécurité
7144,2024-01-02 14:40:06,Panne matérielle,Doucement réflexion ramasser.,Élevée,Ouvert,Equipe Support
7145,2024-05-13 12:35:45,Défaillance logicielle,Jaune réveiller empire.,Faible,Ouvert,Equipe Réseau
7146,2023-02-05 21:52:50,Autre,Plein sérieux verser creuser monsieur suivre.,Faible,Résolu,Equipe Réseau
7147,2023-10-09 03:33:55,Défaillance logicielle,L'Une éclairer asseoir lèvre.,Élevée,Résolu,Equipe Sécurité
7148,2022-10-17 18:49:59,Défaillance logicielle,Venir fermer enfermer honneur argent rendre.,Faible,Résolu,Equipe Support
7149,2023-07-23 10:06:37,Intrusion,Religion tantôt vif remplacer remplir.,Faible,Résolu,Equipe Réseau
7150,2023-05-28 06:16:52,Intrusion,Etc danser lendemain.,Élevée,Résolu,Equipe Réseau
7151,2024-03-08 15:56:23,Autre,Jour besoin semblable beau.,Faible,Résolu,Equipe Sécurité
7152,2024-06-13 12:31:34,Autre,Amener fond mener oncle.,Élevée,En cours,Equipe Support
7153,2022-08-22 04:30:47,Défaillance logicielle,Souffrir propos simplement violent.,Faible,Résolu,Equipe Réseau
7154,2024-02-11 12:01:32,Défaillance logicielle,Gros mince apparaître femme fer.,Moyenne,En cours,Equipe Réseau
7155,2024-01-02 12:54:47,Intrusion,Considérer religion ruine clair.,Faible,Résolu,Equipe Réseau
7156,2023-07-02 05:56:35,Intrusion,Passage repousser main empire.,Élevée,Résolu,Equipe Réseau
7157,2022-10-04 22:03:35,Autre,Succès double éprouver pensée hors soudain.,Faible,Ouvert,Equipe Réseau
7158,2023-10-04 17:21:04,Autre,Coucher surprendre papier fonder.,Élevée,Résolu,Equipe Support
7159,2023-02-04 16:11:52,Autre,Notre mouvement apparaître conclure course capable cri.,Moyenne,En cours,Equipe Sécurité
7160,2024-04-29 11:43:04,Intrusion,Magnifique gens camarade compter gouvernement.,Élevée,Résolu,Equipe Support
7161,2022-09-24 04:34:37,Panne matérielle,Distance confier pour il.,Élevée,Résolu,Equipe Réseau
7162,2023-03-14 04:57:53,Intrusion,Remarquer tout fauteuil haïr sortir.,Élevée,En cours,Equipe Support
7163,2023-02-12 16:45:58,Intrusion,Médecin douceur personne retour certain.,Moyenne,Résolu,Equipe Support
7164,2024-07-05 10:45:46,Autre,Goutte oeuvre taire.,Élevée,En cours,Equipe Réseau
7165,2024-05-12 10:08:28,Intrusion,Gens tenter signe intérêt certainement.,Faible,En cours,Equipe Réseau
7166,2024-05-23 00:11:00,Défaillance logicielle,Position moyen ou dresser rayon arrière.,Élevée,Résolu,Equipe Sécurité
7167,2024-01-16 07:44:02,Intrusion,Comment cheveu docteur.,Faible,Résolu,Equipe Sécurité
7168,2023-10-22 10:47:59,Autre,Blanc parti produire général honte sous.,Élevée,En cours,Equipe Support
7169,2024-07-30 17:24:20,Panne matérielle,Vol trouver juste là appuyer éloigner situation.,Moyenne,Résolu,Equipe Support
7170,2023-01-12 17:22:33,Panne matérielle,Repas aspect absolument lutter tard.,Moyenne,En cours,Equipe Réseau
7171,2023-06-27 17:03:28,Autre,Noir vent grand occuper.,Faible,En cours,Equipe Réseau
7172,2023-01-16 22:12:30,Défaillance logicielle,Beau droit peine.,Élevée,Résolu,Equipe Réseau
7173,2024-07-18 20:58:52,Panne matérielle,Te casser sentier.,Moyenne,Résolu,Equipe Sécurité
7174,2023-05-01 07:43:38,Autre,Pont révéler tout.,Moyenne,Résolu,Equipe Sécurité
7175,2024-05-14 22:45:23,Intrusion,Certes moyen indiquer.,Élevée,En cours,Equipe Sécurité
7176,2022-09-08 23:36:47,Défaillance logicielle,Oncle descendre son faire auprès caresser.,Faible,Résolu,Equipe Sécurité
7177,2023-04-09 23:55:39,Défaillance logicielle,Chemin mentir satisfaire même rejeter couler.,Élevée,Ouvert,Equipe Support
7178,2024-05-06 07:59:04,Intrusion,Armée terme couler.,Moyenne,En cours,Equipe Sécurité
7179,2024-04-06 22:04:22,Autre,Paupière interroger ne plaire bande.,Élevée,Ouvert,Equipe Sécurité
7180,2022-08-22 06:05:45,Autre,Curiosité soleil vouloir réfléchir.,Élevée,Ouvert,Equipe Support
7181,2024-02-26 02:11:28,Défaillance logicielle,Éclat tranquille notre naturellement.,Élevée,Résolu,Equipe Support
7182,2024-06-15 03:16:00,Autre,Précis nuage discussion école.,Faible,Résolu,Equipe Réseau
7183,2024-06-25 09:36:24,Défaillance logicielle,Moins ce parent loup sonner.,Élevée,Ouvert,Equipe Réseau
7184,2022-10-24 22:56:14,Autre,Prêt idée justice écrire retirer.,Élevée,Résolu,Equipe Support
7185,2022-11-14 12:32:50,Panne matérielle,Société rôle ramener signe.,Moyenne,Ouvert,Equipe Réseau
7186,2023-05-04 12:31:57,Intrusion,Papier morceau lors oiseau.,Moyenne,Résolu,Equipe Sécurité
7187,2024-06-08 13:26:01,Panne matérielle,Entre revoir rencontre.,Moyenne,En cours,Equipe Sécurité
7188,2023-10-27 03:53:52,Autre,Bon choisir espoir avance écrire.,Élevée,Résolu,Equipe Réseau
7189,2023-01-23 19:09:49,Autre,Crainte résistance prêter.,Élevée,En cours,Equipe Sécurité
7190,2023-12-19 18:08:00,Panne matérielle,Campagne connaissance mon.,Élevée,Résolu,Equipe Support
7191,2024-05-29 04:06:32,Défaillance logicielle,Cercle trésor pluie semaine présenter dépasser.,Faible,En cours,Equipe Sécurité
7192,2024-07-13 05:31:29,Panne matérielle,Bon fixe commun.,Élevée,Ouvert,Equipe Sécurité
7193,2023-11-01 03:26:53,Autre,Demeurer malheur important énorme achever protéger etc.,Moyenne,En cours,Equipe Support
7194,2023-10-03 23:33:33,Intrusion,Visage animal difficile rencontrer chute plaire pourquoi.,Élevée,Résolu,Equipe Réseau
7195,2023-11-19 02:48:20,Défaillance logicielle,Bouche ville arrivée assez.,Faible,Résolu,Equipe Support
7196,2024-06-05 14:50:54,Panne matérielle,Exiger tel inventer absence inquiétude.,Moyenne,En cours,Equipe Réseau
7197,2023-12-15 08:01:29,Panne matérielle,Battre fort mémoire ramener prier pied.,Faible,Ouvert,Equipe Sécurité
7198,2023-11-01 01:52:35,Intrusion,Riche troubler dent.,Faible,En cours,Equipe Réseau
7199,2023-03-01 21:22:41,Défaillance logicielle,D'Autres demain coucher repas exiger.,Moyenne,En cours,Equipe Réseau
7200,2024-04-18 12:39:08,Intrusion,En immense arbre quelque douceur.,Élevée,Résolu,Equipe Sécurité
7201,2023-04-30 00:57:10,Autre,Continuer en disparaître gagner.,Moyenne,Ouvert,Equipe Support
7202,2022-09-09 04:24:26,Panne matérielle,Cas eaux madame vaincre long.,Faible,Ouvert,Equipe Sécurité
7203,2023-05-29 03:27:38,Défaillance logicielle,Poste rue nuage.,Élevée,Ouvert,Equipe Sécurité
7204,2022-08-07 17:52:04,Intrusion,Ensemble or tel.,Élevée,Ouvert,Equipe Réseau
7205,2022-10-27 04:24:25,Défaillance logicielle,Six feuille caresser.,Moyenne,Résolu,Equipe Réseau
7206,2023-09-28 11:40:19,Défaillance logicielle,Social fait chasse précipiter.,Moyenne,Résolu,Equipe Réseau
7207,2022-10-07 02:55:05,Intrusion,Sourd risquer succès.,Moyenne,Ouvert,Equipe Sécurité
7208,2022-10-02 05:01:38,Intrusion,Général égal neuf jeune nombreux siège corps.,Élevée,Ouvert,Equipe Sécurité
7209,2024-02-11 13:24:53,Intrusion,Enfant parent frapper avec taille.,Faible,Ouvert,Equipe Support
7210,2023-02-10 19:59:30,Défaillance logicielle,User surtout route vivre silence ne.,Élevée,En cours,Equipe Réseau
7211,2024-07-10 05:16:27,Intrusion,Reculer mieux enfermer ramener.,Moyenne,Ouvert,Equipe Sécurité
7212,2022-10-20 19:02:03,Intrusion,Justice expression réussir demeurer puissance serrer.,Faible,En cours,Equipe Support
7213,2023-12-16 04:57:23,Panne matérielle,Français grandir trop complètement fier.,Moyenne,Résolu,Equipe Support
7214,2024-01-26 02:09:36,Autre,Réduire libre appeler éclat remarquer.,Élevée,Ouvert,Equipe Sécurité
7215,2023-05-26 22:11:52,Intrusion,Cruel réclamer remercier dépasser temps.,Moyenne,Ouvert,Equipe Réseau
7216,2023-06-16 09:05:06,Autre,Usage époque drame un santé être.,Élevée,En cours,Equipe Support
7217,2024-07-10 17:15:58,Intrusion,Ce médecin attaquer ouvrage billet.,Faible,En cours,Equipe Réseau
7218,2022-12-28 15:48:32,Défaillance logicielle,Élément sentier finir sien pousser prévoir.,Élevée,Résolu,Equipe Support
7219,2023-01-14 20:10:52,Intrusion,Déchirer interroger complètement nul affaire.,Faible,Résolu,Equipe Réseau
7220,2022-08-13 23:58:28,Panne matérielle,Durant observer depuis masse.,Élevée,En cours,Equipe Réseau
7221,2022-09-09 23:22:44,Panne matérielle,Soirée chasser part ensemble deviner recueillir.,Moyenne,Ouvert,Equipe Réseau
7222,2023-05-18 19:34:52,Panne matérielle,Répondre comment partout matière règle marché aussitôt.,Faible,Résolu,Equipe Sécurité
7223,2023-09-12 13:57:42,Panne matérielle,Franchir d'autres dernier.,Élevée,Résolu,Equipe Sécurité
7224,2023-07-30 06:36:24,Panne matérielle,Précipiter durant faim respect hors plaire.,Faible,En cours,Equipe Sécurité
7225,2023-11-02 13:41:54,Défaillance logicielle,Relever vendre drôle livre.,Moyenne,Ouvert,Equipe Support
7226,2023-10-30 02:14:50,Autre,Vers avouer expliquer.,Faible,Résolu,Equipe Sécurité
7227,2024-05-22 10:14:00,Panne matérielle,Affirmer mieux bois.,Faible,Résolu,Equipe Support
7228,2022-11-06 09:57:31,Panne matérielle,Descendre prier qui agir.,Élevée,Résolu,Equipe Sécurité
7229,2024-02-25 11:19:42,Panne matérielle,Agir parce que mon.,Moyenne,En cours,Equipe Réseau
7230,2024-03-27 08:46:38,Défaillance logicielle,Paysan vêtement calmer ancien joli front.,Élevée,En cours,Equipe Réseau
7231,2023-03-19 08:01:30,Défaillance logicielle,Monsieur marché fumée.,Faible,En cours,Equipe Réseau
7232,2024-04-30 18:16:04,Intrusion,Table grâce y renverser seconde.,Moyenne,Ouvert,Equipe Réseau
7233,2023-07-19 10:26:11,Panne matérielle,Existence remercier imaginer herbe.,Moyenne,En cours,Equipe Sécurité
7234,2022-08-12 18:58:33,Autre,Capable encore double sûr surveiller membre.,Faible,Ouvert,Equipe Support
7235,2023-04-08 05:16:39,Autre,Pain parvenir soumettre présent ramener étude.,Élevée,Résolu,Equipe Réseau
7236,2023-12-18 06:27:41,Intrusion,Charger minute bas troisième défaut.,Moyenne,Résolu,Equipe Réseau
7237,2024-03-18 17:41:00,Défaillance logicielle,Tellement consentir lettre placer classe briller.,Élevée,Résolu,Equipe Sécurité
7238,2023-03-22 23:51:20,Défaillance logicielle,Respect abri mur puissance long.,Moyenne,En cours,Equipe Réseau
7239,2023-04-24 00:04:27,Panne matérielle,Réalité reposer trésor.,Moyenne,Ouvert,Equipe Support
7240,2022-12-26 05:43:37,Panne matérielle,Recueillir bras général.,Élevée,En cours,Equipe Support
7241,2024-03-23 08:27:31,Panne matérielle,Éviter ruine confiance tout quitter attaquer.,Moyenne,En cours,Equipe Support
7242,2023-08-15 15:06:32,Autre,Venir inutile lui interroger.,Moyenne,En cours,Equipe Sécurité
7243,2024-05-19 19:56:52,Autre,Jusque jambe auteur chambre poids douze.,Élevée,Résolu,Equipe Sécurité
7244,2023-03-28 01:20:23,Autre,Naître cheveu hiver.,Moyenne,Résolu,Equipe Support
7245,2023-06-15 02:20:24,Autre,Dur second alors résultat métier.,Moyenne,Ouvert,Equipe Support
7246,2023-07-28 14:15:21,Défaillance logicielle,Appartenir écouter personne village si.,Faible,En cours,Equipe Support
7247,2023-10-22 10:08:05,Intrusion,Cri son ville relever fermer voir.,Élevée,Ouvert,Equipe Sécurité
7248,2024-04-23 20:26:53,Intrusion,Pareil visible campagne.,Élevée,Résolu,Equipe Support
7249,2023-12-26 08:26:08,Panne matérielle,Payer enfance placer.,Moyenne,Résolu,Equipe Sécurité
7250,2024-02-09 06:50:14,Autre,Aventure possible autre vol charger usage.,Moyenne,Résolu,Equipe Sécurité
7251,2023-12-30 09:23:01,Panne matérielle,Point ministre puissant accorder joue.,Élevée,Résolu,Equipe Support
7252,2023-07-30 02:54:54,Défaillance logicielle,Reposer fleur reculer cheval renverser seul.,Élevée,Résolu,Equipe Sécurité
7253,2024-01-21 10:08:14,Autre,Claire double me espérer tâche moins.,Élevée,Résolu,Equipe Sécurité
7254,2023-04-19 04:16:04,Intrusion,Affaire révolution flamme faveur.,Faible,Résolu,Equipe Réseau
7255,2023-07-22 14:43:55,Panne matérielle,Détacher étude rendre baisser âme le.,Élevée,En cours,Equipe Support
7256,2023-11-28 15:24:27,Panne matérielle,Temps vie revoir.,Moyenne,Résolu,Equipe Sécurité
7257,2023-07-26 23:31:40,Panne matérielle,Être gouvernement lieu affaire.,Faible,En cours,Equipe Support
7258,2023-09-25 15:35:26,Intrusion,Certes bois auprès.,Élevée,Ouvert,Equipe Sécurité
7259,2023-10-02 05:09:24,Panne matérielle,Doigt étranger silencieux.,Moyenne,En cours,Equipe Support
7260,2022-09-25 09:42:19,Autre,Or fer essuyer.,Moyenne,Résolu,Equipe Support
7261,2023-01-18 21:33:29,Défaillance logicielle,Conseil autant arrêter pont combat.,Élevée,Résolu,Equipe Support
7262,2024-04-15 23:55:49,Défaillance logicielle,Marche nation peine froid.,Faible,Ouvert,Equipe Sécurité
7263,2023-11-15 09:39:00,Défaillance logicielle,Penser trois muet valeur fils.,Faible,En cours,Equipe Support
7264,2023-12-22 05:37:24,Intrusion,Foule même planche côte.,Faible,Ouvert,Equipe Support
7265,2023-08-14 18:21:47,Défaillance logicielle,Étrange oser profondément auteur obliger.,Moyenne,En cours,Equipe Réseau
7266,2022-10-11 00:11:30,Intrusion,Étranger envoyer roman plaisir du parfaitement.,Faible,Ouvert,Equipe Réseau
7267,2024-07-02 20:13:18,Panne matérielle,Frère moindre prouver de.,Faible,En cours,Equipe Réseau
7268,2023-01-19 05:14:28,Défaillance logicielle,Douter dehors rouler vaste vieil tenir.,Élevée,Résolu,Equipe Support
7269,2023-11-01 13:02:35,Panne matérielle,Secrétaire autant tantôt terme travers.,Moyenne,En cours,Equipe Sécurité
